##  Table 2 of Malkan et al. (2017), https://arxiv.org/pdf/1711.04787.pdf
##  loRc   hiRc	 NLBG 	   Sigma [num / arcmin^-2]	Veff [Mpc3]
    23.0   23.5	 11	   0.025      			1.32e6
    23.5   24.0	 49	   0.112			1.26e6
    24.0   24.5	 146	   0.333			1.19e6
    24.5   25.0	 334	   0.762			0.94e6
    25.0   25.5	 482	   1.100			7.08e5
    25.5   26.0	 590	   1.347			4.81e5
    26.0   26.5	 757	   1.728			3.40e5
    26.5   27.0	 929	   2.121			2.52e5
    27.0   27.5	 1132	   2.584			2.22e5
    27.5   28.0	 731	   1.669			1.57e5
