# Cumulative stellar mass function for dropouts.
# Stellar masses in Msun, volumes in Mpc/h.
#      Mstar       u-drop       g-drop       r-drop
  1.0000e+09   3.2847e-03   6.7686e-03   4.6290e-03
  1.2115e+09   3.0269e-03   5.8886e-03   3.9901e-03
  1.4678e+09   2.7839e-03   5.1025e-03   3.4329e-03
  1.7783e+09   2.5550e-03   4.4014e-03   2.9472e-03
  2.1544e+09   2.3395e-03   3.7773e-03   2.5241e-03
  2.6102e+09   2.1366e-03   3.2230e-03   2.1558e-03
  3.1623e+09   1.9457e-03   2.7321e-03   1.8355e-03
  3.8312e+09   1.7664e-03   2.2988e-03   1.5573e-03
  4.6416e+09   1.5979e-03   1.9178e-03   1.3160e-03
  5.6234e+09   1.4399e-03   1.5845e-03   1.1070e-03
  6.8129e+09   1.2919e-03   1.2947e-03   9.2639e-04
  8.2540e+09   1.1535e-03   1.0444e-03   7.7067e-04
  1.0000e+10   1.0244e-03   8.3027e-04   6.3682e-04
  1.2115e+10   9.0412e-04   6.4890e-04   5.2217e-04
  1.4678e+10   7.9250e-04   4.9727e-04   4.2440e-04
  1.7783e+10   6.8925e-04   3.7245e-04   3.4146e-04
  2.1544e+10   5.9416e-04   2.7161e-04   2.7155e-04
  2.6102e+10   5.0705e-04   1.9199e-04   2.1307e-04
  3.1623e+10   4.2774e-04   1.3083e-04   1.6462e-04
  3.8312e+10   3.5609e-04   8.5384e-05   1.2492e-04
  4.6416e+10   2.9197e-04   5.2956e-05   9.2839e-05
  5.6234e+10   2.3522e-04   3.0919e-05   6.7342e-05
  6.8129e+10   1.8567e-04   1.6803e-05   4.7482e-05
  8.2540e+10   1.4313e-04   8.3828e-06   3.2385e-05
  1.0000e+11   1.0732e-04   3.7762e-06   2.1242e-05
