# SM / HM relation for dropouts from Ishikawa+17.
# Quoting log10(Mstar / Mhalo) with Mhalo in Msun/h.
#      Mhalo       u-drop       g-drop       r-drop
  1.0000e+10  -3.3326e+00  -3.1380e+00  -2.9585e+00
  1.2068e+10  -3.2575e+00  -3.0651e+00  -2.8859e+00
  1.4563e+10  -3.1824e+00  -2.9922e+00  -2.8133e+00
  1.7575e+10  -3.1073e+00  -2.9194e+00  -2.7407e+00
  2.1210e+10  -3.0323e+00  -2.8466e+00  -2.6682e+00
  2.5595e+10  -2.9573e+00  -2.7738e+00  -2.5958e+00
  3.0888e+10  -2.8823e+00  -2.7010e+00  -2.5234e+00
  3.7276e+10  -2.8074e+00  -2.6284e+00  -2.4513e+00
  4.4984e+10  -2.7326e+00  -2.5558e+00  -2.3793e+00
  5.4287e+10  -2.6579e+00  -2.4834e+00  -2.3077e+00
  6.5513e+10  -2.5833e+00  -2.4112e+00  -2.2365e+00
  7.9060e+10  -2.5090e+00  -2.3393e+00  -2.1660e+00
  9.5410e+10  -2.4350e+00  -2.2679e+00  -2.0965e+00
  1.1514e+11  -2.3612e+00  -2.1969e+00  -2.0284e+00
  1.3895e+11  -2.2880e+00  -2.1268e+00  -1.9624e+00
  1.6768e+11  -2.2152e+00  -2.0578e+00  -1.8993e+00
  2.0236e+11  -2.1431e+00  -1.9904e+00  -1.8404e+00
  2.4421e+11  -2.0719e+00  -1.9251e+00  -1.7874e+00
  2.9471e+11  -2.0022e+00  -1.8631e+00  -1.7421e+00
  3.5565e+11  -1.9344e+00  -1.8055e+00  -1.7069e+00
  4.2919e+11  -1.8699e+00  -1.7539e+00  -1.6843e+00
  5.1795e+11  -1.8099e+00  -1.7102e+00  -1.6761e+00
  6.2506e+11  -1.7567e+00  -1.6767e+00  -1.6839e+00
  7.5431e+11  -1.7122e+00  -1.6552e+00  -1.7076e+00
  9.1030e+11  -1.6790e+00  -1.6474e+00  -1.7465e+00
  1.0985e+12  -1.6589e+00  -1.6541e+00  -1.7987e+00
  1.3257e+12  -1.6531e+00  -1.6752e+00  -1.8619e+00
  1.5999e+12  -1.6620e+00  -1.7097e+00  -1.9338e+00
  1.9307e+12  -1.6846e+00  -1.7558e+00  -2.0121e+00
  2.3300e+12  -1.7193e+00  -1.8115e+00  -2.0951e+00
  2.8118e+12  -1.7640e+00  -1.8746e+00  -2.1815e+00
  3.3932e+12  -1.8163e+00  -1.9433e+00  -2.2703e+00
  4.0949e+12  -1.8741e+00  -2.0161e+00  -2.3606e+00
  4.9417e+12  -1.9356e+00  -2.0918e+00  -2.4522e+00
  5.9636e+12  -1.9997e+00  -2.1695e+00  -2.5445e+00
  7.1969e+12  -2.0654e+00  -2.2487e+00  -2.6373e+00
  8.6851e+12  -2.1321e+00  -2.3289e+00  -2.7305e+00
  1.0481e+13  -2.1997e+00  -2.4098e+00  -2.8239e+00
  1.2649e+13  -2.2679e+00  -2.4913e+00  -2.9176e+00
  1.5264e+13  -2.3365e+00  -2.5731e+00  -3.0113e+00
  1.8421e+13  -2.4055e+00  -2.6553e+00  -3.1051e+00
  2.2230e+13  -2.4748e+00  -2.7376e+00  -3.1990e+00
  2.6827e+13  -2.5443e+00  -2.8200e+00  -3.2930e+00
  3.2375e+13  -2.6140e+00  -2.9026e+00  -3.3869e+00
  3.9069e+13  -2.6839e+00  -2.9852e+00  -3.4809e+00
  4.7149e+13  -2.7538e+00  -3.0678e+00  -3.5749e+00
  5.6899e+13  -2.8239e+00  -3.1505e+00  -3.6689e+00
  6.8665e+13  -2.8939e+00  -3.2332e+00  -3.7629e+00
  8.2864e+13  -2.9641e+00  -3.3160e+00  -3.8569e+00
  1.0000e+14  -3.0342e+00  -3.3987e+00  -3.9509e+00
