#z=5.000000, params=smhm_true_med_params.txt.
#Log10(Mpeak/Msun) Log10(Median_SM/Msun) Log10(Median_SM/Mpeak)
#Mpeak: peak historical halo mass, using Bryan & Norman virial overdensity.
#Overall fit chi^2: 99.644200
10.50 7.645776 -2.854224
10.55 7.740322 -2.809678
10.60 7.834865 -2.765135
10.65 7.929404 -2.720596
10.70 8.023939 -2.676061
10.75 8.118469 -2.631531
10.80 8.212991 -2.587009
10.85 8.307505 -2.542495
10.90 8.402007 -2.497993
10.95 8.496495 -2.453505
11.00 8.590964 -2.409036
11.05 8.685411 -2.364589
11.10 8.779828 -2.320172
11.15 8.874209 -2.275791
11.20 8.968543 -2.231457
11.25 9.062819 -2.187181
11.30 9.157022 -2.142978
11.35 9.251131 -2.098869
11.40 9.345124 -2.054876
11.45 9.438969 -2.011031
11.50 9.532629 -1.967371
11.55 9.626055 -1.923945
11.60 9.719187 -1.880813
11.65 9.811948 -1.838052
11.70 9.904243 -1.795757
11.75 9.995951 -1.754049
11.80 10.086923 -1.713077
11.85 10.176974 -1.673026
11.90 10.265874 -1.634126
11.95 10.353349 -1.596651
12.00 10.439065 -1.560935
12.05 10.522634 -1.527366
12.10 10.603607 -1.496393
12.15 10.681480 -1.468520
12.20 10.755709 -1.444291
12.25 10.825726 -1.424274
12.30 10.890973 -1.409027
12.35 10.950934 -1.399066
12.40 11.005182 -1.394818
12.45 11.053415 -1.396585
12.50 11.095489 -1.404511
12.55 11.131430 -1.418570
12.60 11.161433 -1.438567
12.65 11.185844 -1.464156
12.70 11.205121 -1.494879
12.75 11.219797 -1.530203
