#   z  dN/dz
5.000000e-02 1.460743e-01
1.500000e-01 3.408399e-01
2.500000e-01 0.000000e+00
3.500000e-01 0.000000e+00
4.500000e-01 0.000000e+00
5.500000e-01 0.000000e+00
6.500000e-01 9.129641e-02
7.500000e-01 1.223372e+00
8.500000e-01 9.190505e-01
9.500000e-01 4.990870e-01
1.050000e+00 0.000000e+00
1.150000e+00 0.000000e+00
1.250000e+00 4.930006e-01
1.350000e+00 1.527693e+00
1.450000e+00 1.278150e+00
1.550000e+00 4.686549e-01
1.650000e+00 0.000000e+00
1.750000e+00 0.000000e+00
1.850000e+00 0.000000e+00
1.950000e+00 0.000000e+00
2.050000e+00 0.000000e+00
2.150000e+00 0.000000e+00
2.250000e+00 0.000000e+00
2.350000e+00 0.000000e+00
2.450000e+00 0.000000e+00
2.550000e+00 0.000000e+00
2.650000e+00 0.000000e+00
2.750000e+00 0.000000e+00
2.850000e+00 0.000000e+00
2.950000e+00 0.000000e+00
3.050000e+00 0.000000e+00
3.150000e+00 0.000000e+00
3.250000e+00 0.000000e+00
3.350000e+00 0.000000e+00
3.450000e+00 5.477785e-02
3.550000e+00 3.347535e-01
3.650000e+00 4.443092e-01
3.750000e+00 3.712721e-01
3.850000e+00 1.825928e-01
3.950000e+00 2.434571e-02
4.050000e+00 6.086427e-03
4.150000e+00 1.217285e-02
4.250000e+00 6.086427e-03
4.350000e+00 0.000000e+00
4.450000e+00 6.086427e-03
4.550000e+00 0.000000e+00
4.650000e+00 0.000000e+00
4.750000e+00 0.000000e+00
4.850000e+00 0.000000e+00
4.950000e+00 0.000000e+00
5.050000e+00 0.000000e+00
5.150000e+00 0.000000e+00
5.250000e+00 0.000000e+00
5.350000e+00 0.000000e+00
5.450000e+00 3.651856e-02
5.550000e+00 1.825928e-01
5.650000e+00 2.008521e-01
5.750000e+00 1.278150e-01
5.850000e+00 5.477785e-02
5.950000e+00 6.086427e-03
