#   z  dN/dz
5.000000e-02 0.000000e+00
1.500000e-01 0.000000e+00
2.500000e-01 0.000000e+00
3.500000e-01 0.000000e+00
4.500000e-01 0.000000e+00
5.500000e-01 0.000000e+00
6.500000e-01 0.000000e+00
7.500000e-01 0.000000e+00
8.500000e-01 0.000000e+00
9.500000e-01 0.000000e+00
1.050000e+00 0.000000e+00
1.150000e+00 0.000000e+00
1.250000e+00 0.000000e+00
1.350000e+00 2.691790e-02
1.450000e+00 3.028264e-02
1.550000e+00 1.009421e-02
1.650000e+00 6.729475e-03
1.750000e+00 0.000000e+00
1.850000e+00 0.000000e+00
1.950000e+00 0.000000e+00
2.050000e+00 0.000000e+00
2.150000e+00 0.000000e+00
2.250000e+00 0.000000e+00
2.350000e+00 0.000000e+00
2.450000e+00 3.028264e-02
2.550000e+00 3.364738e-02
2.650000e+00 1.009421e-01
2.750000e+00 1.006057e+00
2.850000e+00 1.379542e+00
2.950000e+00 1.123822e+00
3.050000e+00 1.218035e+00
3.150000e+00 1.211306e+00
3.250000e+00 1.228129e+00
3.350000e+00 1.258412e+00
3.450000e+00 1.012786e+00
3.550000e+00 3.230148e-01
3.650000e+00 0.000000e+00
3.750000e+00 0.000000e+00
3.850000e+00 0.000000e+00
3.950000e+00 0.000000e+00
4.050000e+00 0.000000e+00
4.150000e+00 0.000000e+00
4.250000e+00 0.000000e+00
4.350000e+00 0.000000e+00
4.450000e+00 0.000000e+00
4.550000e+00 0.000000e+00
4.650000e+00 0.000000e+00
4.750000e+00 0.000000e+00
4.850000e+00 0.000000e+00
4.950000e+00 0.000000e+00
5.050000e+00 0.000000e+00
5.150000e+00 0.000000e+00
5.250000e+00 0.000000e+00
5.350000e+00 0.000000e+00
5.450000e+00 0.000000e+00
5.550000e+00 0.000000e+00
5.650000e+00 0.000000e+00
5.750000e+00 0.000000e+00
5.850000e+00 0.000000e+00
5.950000e+00 0.000000e+00
