##  Field   Size [arcmin^2]  NBX	NLBG
Q0000       18.9             NaN	28
CDFa        78.4	     NaN	100
CDFb	    82.4	     NaN	121
Q0100 	    42.9	     345	100
Q0142 	    40.1	     287	100
Q0201	    75.7	     NaN	87
Q0256	    72.2	     NaN	120
Q0302	    244.9	     NaN	191
Q0449	    32.1	     188	88
B20902	    41.8	     NaN	78
Q0933	    82.9	     NaN	211
Q1009	    38.3	     306	137
Q1217	    35.3	     240	65
GOODS-N	    155.3	     909	210
Q1307	    258.7	     1763	564
Westphal    226.9	     612	334
Q1422	    113.0	     NaN	453
3C324	    44.1	     NaN	51
Q1549	    37.3	     243	119
Q1623	    290.0	     1348	580
Q1700	    235.3	     1472	438
Q2206	    40.5	     213	52
SSA22a	    77.7	     NaN	146
SSA22b	    77.6	     NaN	89
Q2233	    85.6	     NaN	94
DSF2237b    81.7	     NaN	176
DSF2237a    83.4	     NaN	121
Q2343	    212.8	     1018	428
Q2346	    280.3	     1069	171
