# mlim   g/deg^2
20.500000 0.000000
20.600000 0.000000
20.700000 0.000000
20.800000 0.000000
20.900000 0.000000
21.000000 0.000000
21.100000 0.000002
21.200000 0.000012
21.300000 0.000056
21.400000 0.000226
21.500000 0.000825
21.600000 0.002779
21.700000 0.008461
21.800000 0.023746
21.900000 0.062508
22.000000 0.152649
22.100000 0.348994
22.200000 0.760862
22.300000 1.563576
22.400000 3.057644
22.500000 5.746365
22.600000 10.324578
22.700000 17.840205
22.800000 29.869499
22.900000 48.297928
23.000000 75.656563
23.100000 115.682445
23.200000 171.956229
23.300000 249.486304
23.400000 354.667401
23.500000 493.239390
23.600000 672.757920
23.700000 903.427454
23.800000 1191.855193
23.900000 1547.809109
24.000000 1985.357742
24.100000 2511.325806
24.200000 3137.752858
24.300000 3880.575313
24.400000 4746.537184
24.500000 5748.980138
24.600000 6907.301992
24.700000 8226.791968
24.800000 9718.626175
24.900000 11410.568885
25.000000 13300.733877
25.100000 15405.335036
25.200000 17751.289406
25.300000 20337.695074
25.400000 23180.583067
25.500000 26313.535755
25.600000 29731.090822
25.700000 33448.298923
25.800000 37512.867159
25.900000 41905.682999
26.000000 46652.619264
26.100000 51796.285585
26.200000 57332.764078
26.300000 63279.670512
26.400000 69690.505145
26.500000 76554.154025
26.600000 83896.963141
26.700000 91779.875692
26.800000 100194.790151
26.900000 109161.581721
27.000000 118756.698893
27.100000 128979.855260
27.200000 139840.397976
27.300000 151445.347972
27.400000 163776.900281
27.500000 176850.610444
27.600000 190787.104783
27.700000 205580.262450
27.800000 221246.530600
27.900000 237918.805760
