# mlim   g/deg^2
20.500000 0.000000
20.600000 0.000000
20.700000 0.000000
20.800000 0.000000
20.900000 0.000000
21.000000 0.000000
21.100000 0.000000
21.200000 0.000000
21.300000 0.000000
21.400000 0.000000
21.500000 0.000002
21.600000 0.000012
21.700000 0.000053
21.800000 0.000212
21.900000 0.000762
22.000000 0.002463
22.100000 0.007347
22.200000 0.020365
22.300000 0.052088
22.400000 0.124945
22.500000 0.283099
22.600000 0.603288
22.700000 1.222042
22.800000 2.366935
22.900000 4.373375
23.000000 7.766114
23.100000 13.302954
23.200000 21.976355
23.300000 35.187554
23.400000 54.764634
23.500000 82.855700
23.600000 122.335545
23.700000 176.549055
23.800000 249.294887
23.900000 345.277285
24.000000 469.735005
24.100000 628.191018
24.200000 827.293404
24.300000 1074.400283
24.400000 1376.490697
24.500000 1742.329125
24.600000 2181.208938
24.700000 2701.252294
24.800000 3313.226458
24.900000 4028.971597
25.000000 4856.903901
25.100000 5810.213228
25.200000 6903.397791
25.300000 8144.793636
25.400000 9551.414548
25.500000 11139.990669
25.600000 12918.970319
25.700000 14909.275177
25.800000 17131.245027
25.900000 19593.779451
26.000000 22323.174347
26.100000 25343.453054
26.200000 28663.725163
26.300000 32315.054923
26.400000 36332.033008
26.500000 40721.568987
26.600000 45519.496814
26.700000 50769.435440
26.800000 56483.829239
26.900000 62701.407838
27.000000 69479.921549
27.100000 76830.565822
27.200000 84807.584140
27.300000 93473.302459
27.400000 102845.915101
27.500000 112998.345331
27.600000 123995.962072
27.700000 135871.741365
27.800000 148705.159046
27.900000 162592.342959
