# mlim   g/deg^2
20.500000 0.000000
20.600000 0.000000
20.700000 0.000000
20.800000 0.000000
20.900000 0.000000
21.000000 0.000000
21.100000 0.000000
21.200000 0.000000
21.300000 0.000000
21.400000 0.000000
21.500000 0.000000
21.600000 0.000000
21.700000 0.000000
21.800000 0.000000
21.900000 0.000000
22.000000 0.000000
22.100000 0.000001
22.200000 0.000005
22.300000 0.000024
22.400000 0.000106
22.500000 0.000406
22.600000 0.001447
22.700000 0.004622
22.800000 0.013406
22.900000 0.036537
23.000000 0.091797
23.100000 0.214305
23.200000 0.474991
23.300000 0.991270
23.400000 1.952614
23.500000 3.693758
23.600000 6.668250
23.700000 11.515439
23.800000 19.250499
23.900000 31.067668
24.000000 48.410464
24.100000 73.538986
24.200000 108.688433
24.300000 156.402067
24.400000 220.503020
24.500000 304.496531
24.600000 411.563297
24.700000 547.556268
24.800000 716.796590
24.900000 922.718668
25.000000 1173.052524
25.100000 1472.472026
25.200000 1824.314847
25.300000 2237.414392
25.400000 2718.006069
25.500000 3266.825234
25.600000 3895.454693
25.700000 4609.667084
25.800000 5408.900687
25.900000 6306.893169
26.000000 7309.534548
26.100000 8414.272291
26.200000 9635.716626
26.300000 10983.773169
26.400000 12451.058061
26.500000 14054.994531
26.600000 15806.553393
26.700000 17696.273838
26.800000 19745.734467
26.900000 21965.679254
27.000000 24345.608060
27.100000 26906.802213
27.200000 29667.251836
27.300000 32611.267736
27.400000 35763.109463
27.500000 39145.040294
27.600000 42740.525926
27.700000 46571.816444
27.800000 50673.623162
27.900000 55016.962374
