# mlim   g/deg^2
20.500000 9.144545
20.600000 10.283142
20.700000 11.511521
20.800000 12.832090
20.900000 14.247183
21.000000 15.759071
21.100000 17.369975
21.200000 19.082088
21.300000 20.897596
21.400000 22.818713
21.500000 24.847708
21.600000 26.986938
21.700000 29.238883
21.800000 31.606173
21.900000 34.091617
22.000000 36.698231
22.100000 39.429255
22.200000 42.288179
22.300000 45.278752
22.400000 48.405003
22.500000 51.671250
22.600000 55.082108
22.700000 58.642505
22.800000 62.357683
22.900000 66.233213
23.000000 70.275000
23.100000 74.489288
23.200000 78.882677
23.300000 83.462125
23.400000 88.234961
23.500000 93.208894
23.600000 98.392027
23.700000 103.792869
23.800000 109.420346
23.900000 115.283818
24.000000 121.393092
24.100000 127.758445
24.200000 134.390631
24.300000 141.300912
24.400000 148.501069
24.500000 156.003427
24.600000 163.820878
24.700000 171.966904
24.800000 180.455604
24.900000 189.301716
25.000000 198.520650
25.100000 208.128517
25.200000 218.142156
25.300000 228.579172
25.400000 239.457965
25.500000 250.797771
25.600000 262.618696
25.700000 274.941759
25.800000 287.788929
25.900000 301.183174
26.000000 315.148502
26.100000 329.710013
26.200000 344.893948
26.300000 360.727739
26.400000 377.240068
26.500000 394.460923
26.600000 412.421661
26.700000 431.155068
26.800000 450.695428
26.900000 471.078595
27.000000 492.342062
27.100000 514.525039
27.200000 537.668538
27.300000 561.815451
27.400000 587.010641
27.500000 613.301038
27.600000 640.735730
27.700000 669.366071
27.800000 699.245784
27.900000 730.431072
