# mlim   g/deg^2
20.500000 0.000000
20.600000 0.000000
20.700000 0.000000
20.800000 0.000000
20.900000 0.000000
21.000000 0.000000
21.100000 0.000000
21.200000 0.000000
21.300000 0.000000
21.400000 0.000000
21.500000 0.000000
21.600000 0.000000
21.700000 0.000000
21.800000 0.000000
21.900000 0.000000
22.000000 0.000000
22.100000 0.000000
22.200000 0.000000
22.300000 0.000001
22.400000 0.000004
22.500000 0.000021
22.600000 0.000085
22.700000 0.000307
22.800000 0.001018
22.900000 0.003094
23.000000 0.008568
23.100000 0.022029
23.200000 0.053016
23.300000 0.118956
23.400000 0.251761
23.500000 0.506427
23.600000 0.965279
23.700000 1.758291
23.800000 3.080770
23.900000 5.178077
24.000000 8.401720
24.100000 13.232689
24.200000 20.180596
24.300000 29.934617
24.400000 43.408711
24.500000 61.396879
24.600000 84.985606
24.700000 115.576031
24.800000 154.168839
24.900000 202.186802
25.000000 261.552783
25.100000 333.293227
25.200000 419.049285
25.300000 521.306365
25.400000 640.949573
25.500000 779.595687
25.600000 940.376961
25.700000 1123.917114
25.800000 1331.815135
25.900000 1567.911618
26.000000 1832.148248
26.100000 2126.241889
26.200000 2455.169494
26.300000 2817.946187
26.400000 3216.171589
26.500000 3656.405389
26.600000 4136.774905
26.700000 4658.521105
26.800000 5230.015510
26.900000 5848.742045
27.000000 6515.284804
27.100000 7240.683616
27.200000 8020.543539
27.300000 8856.337674
27.400000 9760.713745
27.500000 10728.355117
27.600000 11760.979608
27.700000 12873.952768
27.800000 14060.155115
27.900000 15322.543958
